formula,mpid,spacegroup.symbol,nature of band gap
ScAlO3,mp-4471,Pnma,0
NaSbO3,mp-4482,R-3,0
NaNbO3,mp-4514,R3c,1
NaNO3,mp-4531,R-3c,0
PrGaO3,mp-4535,Pnma,0
SrHfO3,mp-4551,Pm-3m,0
NdRhO3,mp-4582,Pnma,0
SrHfO3,mp-4673,Cmcm,0
NaTaO3,mp-4675,P4/mbm,0
NaNbO3,mp-4681,Pmc2_1,1
NaTaO3,mp-4699,Cmcm,0
NaPO3,mp-4734,P2_1/c,0
NaNbO3,mp-4748,Cmcm,0
PrRhO3,mp-4789,Pnma,0
RbNO3,mp-5073,P3_1,0
NdVO3,mp-541129,Pnma,1
PdSeO3,mp-545482,P2_1/m,0
PdSeO3,mp-546684,C2/m,1
RbPO3,mp-548658,Cmcm,1
ScBiO3,mp-550008,Pm-3m,0
SrHfO3,mp-550908,P4/mbm,0
NbAgO3,mp-5537,Pbcm,0
SrGeO3,mp-554869,P-1,0
NaPO3,mp-555118,Pnma,0
ScBiO3,mp-555313,Cc,0
NaVO3,mp-555665,Pnma,0
SrGeO3,mp-555731,P-62m,1
ScBiO3,mp-555769,C2/c,0
NbAgO3,mp-557680,Cmmm,0
NaPO3,mp-558192,P2_1/c,0
NaIO3,mp-559252,Pna2_1,0
NaNbO3,mp-559354,Cmcm,1
PrScO3,mp-559756,Pnma,1
ReO3F,mp-573051,P2/c,0
NaUO3,mp-5788,Pnma,1
NdAlO3,mp-5899,R-3c,0
RbNO3,mp-614951,P3_2,0
RbPO3,mp-616587,P2_1/c,1
SbHO3,mp-626182,I4_1/amd,0
NbHO3,mp-626528,P1,0
PbSeO3,mp-630329,P2_1/c,0
NaPO3,mp-648053,I4_1/a,0
NaPO3,mp-648072,I4_1/a,1
NaNO3,mp-674297,P1,0
NdBO3,mp-7238,Pnma,1
SmAlO3,mp-7405,Pnma,0
ScTlO3,mp-752429,Pnma,1
SmInO3,mp-752437,Pnma,1
RbNO3,mp-752446,R32,0
NaSbO3,mp-752755,Pnna,1
ScBiO3,mp-754009,R3c,0
ScGaO3,mp-754165,P6_3/mmc,0
SmErO3,mp-754203,Pnma,1
ScGaO3,mp-754239,Pnma,0
NiSnO3,mp-754654,R-3,0
SmTlO3,mp-754787,Pnma,1
NaTaO3,mp-754818,Fd-3m,0
RbTaO3,mp-755018,R3m,0
NdInO3,mp-755138,Pnma,1
SmYO3,mp-755685,Pna2_1,0
SmHoO3,mp-755717,Pnma,1
RbNbO3,mp-756063,C2/m,0
ScBiO3,mp-756205,Pnma,0
NdZrO3,mp-756246,I-4m2,0
SmDyO3,mp-756452,Pnma,1
ScVO3,mp-756546,Pnma,0
NbTlO3,mp-757636,P1,0
SmBO3,mp-760477,Ama2,0
NaSbO3,mp-760994,P-1,1
SrCrO3,mp-761337,Ama2,0
NaVO3,mp-763901,Ibam,0
ScInO3,mp-768358,P6_3/mmc,1
ScGaO3,mp-769079,P6_3cm,0
SnGeO3,mp-769144,P2/c,1
SiGeO3,mp-769171,Pbca,1
ScFeO3,mp-769734,Pnma,1
SrCrO3,mp-769855,Ama2,0
SmCuO3,mp-770767,Pnma,0
ScFeO3,mp-771123,P6_3cm,0
SnBO3,mp-772724,Cc,0
SiSnO3,mp-776110,P2/c,0
ScAgO3,mp-776150,Cmmm,0
SmTmO3,mp-776439,Pnma,1
TiSnO3,mp-1018639,Pm-3m,0
SrZrO3,mp-1020622,P4/mbm,0
ZnSiO3,mp-1020623,R-3,0
ZnGeO3,mp-1020631,R3c,1
ZrPbO3,mp-1068577,Pm-3m,0
SrZrO3,mp-1068742,P4mm,0
TiZnO3,mp-1078470,R3c,0
SrZrO3,mp-1080575,Imma,0
TmAlO3,mp-1101265,P6_3/mmc,0
TmGaO3,mp-1101269,P6_3/mmc,0
TbGaO3,mp-1101339,R-3c,1
TlNiO3,mp-1178989,P2_1/c,0
TaAgO3,mp-1187189,Pm-3m,0
TaInO3,mp-1187260,Pm-3m,0
TbErO3,mp-1187342,Pm-3m,1
ThBeO3,mp-1187421,Pm-3m,0
YbSnO3,mp-1187515,Pm-3m,0
YbSiO3,mp-1187516,Pm-3m,0
TmScO3,mp-1187557,Pm-3m,1
TmCrO3,mp-1187577,Pm-3m,0
UPdO3,mp-1187714,Pm-3m,0
ZrBeO3,mp-1188011,Pm-3m,0
VCoO3,mp-1206118,P-1,0
VCrO3,mp-1216392,R3c,0
SrSnO3,mp-12866,Imma,0
SrSnO3,mp-12867,I4/mcm,0
ZnSnO3,mp-13334,R3c,1
TiCdO3,mp-13641,R-3,0
TiZnO3,mp-14142,R-3,0
TiCdO3,mp-14550,Pnma,0
ZnSnO3,mp-14628,R-3,0
ZnTeO3,mp-16819,Pbca,0
TmBO3,mp-17620,P6_3/mcm,0
YGaO3,mp-17853,P6_3cm,1
SrSiO3,mp-18313,P-1,1
YCrO3,mp-18725,Pnma,0
TiNiO3,mp-18732,R-3,0
YCrO3,mp-18770,Pm-3m,0
YVO3,mp-18883,Pnma,0
VBO3,mp-18946,R-3c,0
TiMnO3,mp-19082,R-3,0
YMnO3,mp-19227,P6_3/mmc,1
TiFeO3,mp-19270,R3c,0
TiMnO3,mp-19376,R3c,0
YMnO3,mp-19385,P6_3cm,1
TiFeO3,mp-19417,R-3,0
YbFeO3,mp-19793,Pnma,0
TbCoO3,mp-19802,Pnma,0
TiPbO3,mp-19845,Pm-3m,0
TbFeO3,mp-19853,Pnma,0
VPbO3,mp-20032,P4mm,0
TiFeO3,mp-20073,Pnma,1
TiPbO3,mp-20459,P4mm,0
TmFeO3,mp-20651,Pnma,0
YMnO3,mp-20699,Pnma,0
YFeO3,mp-20783,Pnma,1
TiCdO3,mp-20940,Pmc2_1,1
TbMnO3,mp-22055,Pnma,1
TlVO3,mp-22330,Pbcm,0
YbMnO3,mp-22518,Pnma,0
TlIO3,mp-22981,R3m,0
TlPO3,mp-27144,P-42_1c,0
SrSnO3,mp-2879,Pnma,0
VHgO3,mp-29188,P-1,0
YBO3,mp-29205,Cmcm,0
TlClO3,mp-29738,R3m,0
TlBrO3,mp-29798,R3m,0
TlSbO3,mp-30058,R-3,1
TbScO3,mp-31119,Pnma,1
SrZrO3,mp-3323,Pm-3m,0
TaHO3,mp-33753,I4_1/amd,0
SrSeO3,mp-3395,P2_1/m,0
SrZrO3,mp-3626,Cmcm,0
YAlO3,mp-3792,Pnma,0
SrSiO3,mp-3978,C2/c,0
SrZrO3,mp-4387,Pnma,0
TbAlO3,mp-4434,Pnma,0
SrTiO3,mp-4651,I4/mcm,0
ZnSeO3,mp-4682,Pnma,0
VCuO3,mp-504580,R-3,0
YInO3,mp-504607,P6_3cm,0
TiCdO3,mp-5052,Pna2_1,1
TlFeO3,mp-505819,Pnma,1
SrZrO3,mp-5076,I4/mcm,0
SrTiO3,mp-5229,Pm-3m,0
ZnSeO3,mp-5338,Pbca,0
TePbO3,mp-543039,C2/c,1
TlIO3,mp-546200,Pm-3m,0
SrSnO3,mp-546973,Pm-3m,0
SrTiO3,mp-551830,I4/mcm,1
TmMnO3,mp-554270,Pnma,1
TbVO3,mp-554811,Pnma,1
TePbO3,mp-555021,P4_1,0
SrSeO3,mp-555098,Pnma,0
TcO3F,mp-555390,P2_1/c,0
TiMnO3,mp-556925,Pnma,0
TlPO3,mp-556932,Pbcn,0
SrZrO3,mp-557203,P2_13,1
TlNO3,mp-557704,P3_1,0
TlSbO3,mp-557787,P-31c,1
VAgO3,mp-559736,Cm,0
SrTeO3,mp-561385,C2,0
TlSbO3,mp-561465,P6_322,0
SrSiO3,mp-561547,P2_1/c,0
TmCoO3,mp-561954,Pnma,0
ZnSiO3,mp-562182,C2/c,0
VCuO3,mp-562987,P1,0
TbRhO3,mp-5692,Pnma,1
TlNO3,mp-5915,Pnma,0
ZnSiO3,mp-619034,Pbca,0
VAgO3,mp-624691,C2/c,1
VHO3,mp-625246,P2_1,0
VHO3,mp-625258,P2_1,0
VHO3,mp-625407,P1,0
TeHO3,mp-625630,Pna2_1,0
TeHO3,mp-625654,Pna2_1,0
TeHO3,mp-625657,Pc,0
TeHO3,mp-625856,Pc,0
TeHO3,mp-625913,Pc,0
VHO3,mp-627684,P1,0
TiZnO3,mp-635713,P-1,0
ZnSiO3,mp-641917,P2_1/c,0
SrTeO3,mp-662523,P1,0
TaTlO3,mp-676262,C2/c,0
TiNiO3,mp-690546,P1,0
TiNiO3,mp-698587,P1,0
TbLuO3,mp-754145,Pnma,1
YBiO3,mp-754152,R-3,0
YbTiO3,mp-754225,Pnma,1
YLuO3,mp-754226,P6_3/mmc,1
TiSnO3,mp-754246,R-3,0
TmBiO3,mp-754323,R3c,0
ZrMnO3,mp-754513,R3c,1
TmGaO3,mp-754578,Pnma,1
ZrMnO3,mp-754980,R-3,0
ZrCrO3,mp-755055,Pnma,1
YErO3,mp-755109,Pnma,1
YScO3,mp-755165,Pnma,1
VGeO3,mp-755199,C2/c,0
YbCO3,mp-755213,Pnma,0
TmBiO3,mp-755216,R-3,1
TmVO3,mp-755258,Pnma,0
VGaO3,mp-755580,Pnma,0
TiCrO3,mp-755606,Pnma,0
TbHoO3,mp-755740,Pnma,1
TlCoO3,mp-755788,R-3,0
TbErO3,mp-756048,Pnma,1
TaCuO3,mp-756050,C2/m,0
TbSmO3,mp-756118,Pnma,1
TbCrO3,mp-756124,Pnma,0
YAlO3,mp-756214,R-3c,0
TbGdO3,mp-756224,Pnma,0
TmAlO3,mp-756281,Pnma,1
VBiO3,mp-756282,Pnma,1
TbGaO3,mp-756290,Pnma,1
ZrCoO3,mp-756665,Pnma,0
YAlO3,mp-756705,Cmcm,1
TbTmO3,mp-756762,Pnma,1
TlGaO3,mp-756909,Pnma,0
TaTlO3,mp-756933,Fd-3m,0
YbCO3,mp-758329,Pnma,0
YBO3,mp-760457,Ama2,0
TmBO3,mp-760484,Ama2,0
TiHgO3,mp-7607,R-3c,1
YTmO3,mp-766256,C2,0
YBiO3,mp-768221,R3c,0
YTmO3,mp-768353,P6_3cm,0
TmGaO3,mp-768469,P6_3cm,0
YScO3,mp-768479,P6_3/mmc,1
YHoO3,mp-768889,P6_3cm,0
YScO3,mp-769007,P6_3cm,1
TbInO3,mp-769263,Pnma,1
YSeO3,mp-769404,P2_1/c,0
VCrO3,mp-770843,P1,0
SrTiO3,mp-776018,P6_3/mmc,1
TmCrO3,mp-777295,Pnma,0
TiGeO3,mp-780260,R-3,0
YbHfO3,mp-780387,Pnma,1
YAlO3,mp-7964,P6_3/mmc,0
ZnGeO3,mp-8285,R-3,0
TiNiO3,mp-850194,R3c,0
TaTlO3,mp-861873,Pm-3m,1
YbTiO3,mp-865218,Pm-3m,0
UTlO3,mp-865322,Pm-3m,1
YbGeO3,mp-865758,Pm-3m,0
SrTeO3,mp-972117,P2_1/c,0
ZnCO3,mp-9812,R-3c,0
TaAgO3,mp-9890,R-3c,0
YFeO3,mvc-11229,Pm-3m,0
YCoO3,mvc-11732,Pm-3m,0
YSbO3,mvc-14740,P6_3/mmc,0
YBiO3,mvc-15941,P6_3/mmc,0
ZrPbO3,mp-20337,Amm2,0
ZrPbO3,mp-542903,Pbam,1
ZrPbO3,mp-755798,Pnma,0
AlSBr3,mp-1079481,P-3m1,0
CBr3F,mp-28765,Pnma,0
CaInBr3,mp-28534,Cmcm,0
CdInBr3,mp-505222,Pnma,0
CsAuBr3,mp-569548,I4/mmm,0
CsCaBr3,mp-30056,Pm-3m,0
CsCdBr3,mp-541899,P6_3/mmc,1
CsCdBr3,mp-570231,Pm-3m,0
CsCuBr3,mp-27336,C222_1,0
CsEuBr3,mp-638685,Pnma,1
CsFeBr3,mp-1079847,P6_3/mmc,0
CsGeBr3,mp-1068340,R3m,1
CsGeBr3,mp-570223,Pm-3m,1
CsGeBr3,mp-642739,Cm,1
CsMgBr3,mp-29750,P6_3/mmc,1
CsPbBr3,mp-600089,Pm-3m,1
CsPbBr3,mp-567629,Pnma,1
CsPbBr3,mp-1014168,I4/mcm,1
CsPbBr3,mp-567681,Pnma,0
CsSeBr3,mp-998413,P2_1/m,0
CsSnBr3,mp-27214,Pm-3m,1
CsSrBr3,mp-998433,Cmcm,1
CsSrBr3,mp-998297,Cm,0
CsVBr3,mp-23038,P6_3/mmc,0
CsYbBr3,mp-568005,Pm-3m,0
InSnBr3,mp-998398,P1,1
InSnBr3,mp-685272,P1,0
KCaBr3,mp-998599,Cmcm,1
KCaBr3,mp-998749,Cm,0
KFeBr3,mp-23348,Pnma,0
KGeBr3,mp-998612,P2_1/m,0
KGeBr3,mp-998412,Cm,1
KInBr3,mp-28529,P-3,0
KMnBr3,mp-29636,Pnma,0
LiGaBr3,mp-28327,P2_1/m,0
MgInBr3,mp-29483,Pnma,0
MnInBr3,mp-28912,Pnma,0
NbBr3O,mp-606393,P-42_1m,0
NbSeBr3,mp-23498,P2/c,0
NbTeBr3,mp-28038,P2/c,0
PBr3O,mp-1189731,Pna2_1,0
PBr3O,mp-558645,Pnma,0
PaBr3O,mp-540540,C2/m,0
RbAuBr3,mp-27300,C2/m,0
RbCaBr3,mp-998536,Pnma,1
RbCaBr3,mp-1209227,Pm-3m,0
RbCaBr3,mp-998198,Cm,0
RbCdBr3,mp-27400,Pnma,0
RbGeBr3,mp-28558,Pna2_1,1
RbMnBr3,mp-568231,P6_3cm,1
RbNiBr3,mp-27409,P6_3/mmc,0
RbPbBr3,mp-998603,Cmcm,0
RbPbBr3,mp-998176,Cm,1
RbSeBr3,mp-998299,P2_1/m,0
RbSnBr3,mp-998778,Pnma,0
RbSnBr3,mp-998157,P1,1
RbVBr3,mp-570099,P6_3/mmc,0
RbVBr3,mp-29314,P6_3cm,0
RbYbBr3,mp-571418,Pnma,0
TlCdBr3,mp-28219,Pnma,0
TlGeBr3,mp-998746,Pnma,0
TlGeBr3,mp-998153,Cm,1
AsCl3O,mp-29863,P2_1/c,0
CaNCl3,mp-1106358,Pnma,1
CaTlCl3,mp-998151,Cm,0
CaTlCl3,mp-998787,Cmcm,0
CdNCl3,mp-1080587,P2_1/m,0
CdNCl3,mp-1080000,Cmcm,0
CsAuCl3,mp-23484,I4/mmm,0
CsCaCl3,mp-1097916,Pm-3m,0
CsCdCl3,mp-568544,Pm-3m,0
CsCrCl3,mp-29616,C2/m,0
CsEuCl3,mp-1068377,Pm-3m,1
CsGeCl3,mp-22988,R3m,0
CsHgCl3,mp-675010,P-42_1m,0
CsHgCl3,mp-29845,P3_2,0
CsMgCl3,mp-23004,P6_3/mmc,1
CsMnCl3,mp-23336,R-3m,0
CsNiCl3,mp-22950,P6_3/mmc,0
CsPbCl3,mp-675022,R32,0
CsPbCl3,mp-23037,Pm-3m,1
CsPbCl3,mp-675524,Amm2,1
CsPdCl3,mp-29882,Ibam,0
CsSnCl3,mp-27394,P2_1/c,1
CsSnCl3,mp-1070375,Pm-3m,1
CsSrCl3,mp-1213642,Pm-3m,0
CsSrCl3,mp-1080233,Cm,0
CsVCl3,mp-22977,P6_3/mmc,0
CsYbCl3,mp-1070599,Pm-3m,0
CuNCl3,mp-1105578,P2_1/c,0
InGeCl3,mp-998233,Cm,1
InPbCl3,mp-998512,Cmcm,0
InPbCl3,mp-998535,Cm,0
InSnCl3,mp-998560,Cm,1
KCaCl3,mp-998601,Cm,0
KCaCl3,mp-1211589,Pm-3m,0
KCdCl3,mp-23442,Pnma,0
KCuCl3,mp-27450,P2_1/c,0
KCuCl3,mp-636978,P2_1/c,0
KFeCl3,mp-23538,Pnma,0
KGeCl3,mp-998231,Cm,0
KMgCl3,mp-27865,Pnma,1
KNiCl3,mp-27366,P6_3cm,0
KTcCl3,mp-28408,Cc,0
LiGaCl3,mp-29344,Pnma,0
MnTlCl3,mp-30528,Pnma,1
MnTlCl3,mp-570300,Pnma,0
MnTlCl3,mp-570290,Pm-3m,0
MoCl3O,mp-23528,P2_1/c,0
MoNCl3,mp-23396,P-1,0
NaHgCl3,mp-608490,Pnma,1
NaMnCl3,mp-27176,R-3,1
NbCl3O,mp-556422,P-42_1m,0
NbCl3O,mp-27815,P4_2/mnm,0
NbSeCl3,mp-570270,P2/c,0
PCl3O,mp-753611,Pna2_1,1
PCl3O,mp-27277,Pna2_1,1
RbCaCl3,mp-998197,Cm,0
RbCdCl3,mp-23390,Pnma,0
RbCrCl3,mp-568864,C2,0
RbCrCl3,mp-30027,C2/c,0
RbCrCl3,mp-568887,C2/m,0
RbCuCl3,mp-23055,Pbcn,1
RbEuCl3,mp-1206801,Pm-3m,1
RbGeCl3,mp-27369,P2_1/m,0
RbMgCl3,mp-662499,P6_3/mmc,1
RbMgCl3,mp-27208,P6_3/mmc,1
RbMnCl3,mp-569309,P6_3/mmc,0
RbNiCl3,mp-23486,P6_3/mmc,0
RbPbCl3,mp-1209191,Pm-3m,1
RbPbCl3,mp-998604,Cmcm,0
RbPbCl3,mp-998605,Cm,1
RbSnCl3,mp-998156,Cm,1
RbSrCl3,mp-1209047,Pm-3m,0
RbSrCl3,mp-998155,Cm,0
RbVCl3,mp-23319,P6_3/mmc,0
SnCCl3,mp-1179357,Cm,0
TlCdCl3,mp-28218,Pnma,0
TlGeCl3,mp-998743,P2_1/m,0
TlGeCl3,mp-998744,Cm,1
TlHgCl3,mp-1105094,Pnma,0
TlInCl3,mp-998713,P1,0
TlPbCl3,mp-676598,Fmm2,1
VCl3O,mp-22938,Pnma,0
AsCF3,mp-27274,P4_2/nmc,1
BaLiF3,mp-10250,Pm-3m,1
CaTlF3,mp-998150,Amm2,1
CaTlF3,mp-1097061,Cm,1
CrOF3,mp-31703,P4_1,0
CsBeF3,mp-12262,Pnma,0
CsBeF3,mp-1017555,Pm-3m,0
CsCaF3,mp-7104,Pm-3m,0
CsCdF3,mp-8399,Pm-3m,0
CsCoF3,mp-556943,R-3m,0
CsFeF3,mp-555302,P6_3/mmc,1
CsHgF3,mp-561947,Pm-3m,0
CsMgF3,mp-8401,Pm-3m,1
CsMnF3,mp-558702,P6_3/mmc,0
CsNaF3,mp-998609,Pnma,0
CsNiF3,mp-505492,R-3m,1
CsNiF3,mp-611601,P6_3/mmc,0
CsNiF3,mp-557772,P6_3/mmc,1
CsPbF3,mp-5811,Pm-3m,1
CsPbF3,mp-20282,R3c,0
CsSnF3,mp-998298,P1,1
CsSnF3,mp-1105915,P2_1/c,0
CsSrF3,mp-8397,Pm-3m,0
CsYbF3,mp-8398,Pm-3m,1
InPF3,mp-675295,R3,0
KCaF3,mp-5926,Pnma,0
KCaF3,mp-643749,P2_1/m,1
KCaF3,mp-4950,Pm-3m,0
KCdF3,mp-10175,Pm-3m,0
KCdF3,mp-9628,Pnma,1
KCrF3,mp-1180767,I4/mcm,0
KCrF3,mp-1180782,Ibam,0
KCrF3,mp-560547,I4/m,1
KCrF3,mp-566131,P4/mmm,0
KCrF3,mp-556365,C2/m,0
KHgF3,mp-7483,Pm-3m,0
KMgF3,mp-3448,Pm-3m,0
KMnF3,mp-555359,I4/mcm,1
KMnF3,mp-1180746,I4/mcm,1
KMnF3,mp-555123,Pm-3m,0
KMnF3,mp-644332,P2_1/m,0
KMnF3,mp-1205353,Imma,0
KMnF3,mp-558046,Pnma,0
KMnF3,mp-560382,P4/mbm,1
KSnF3,mp-28774,P-1,0
KVF3,mp-557257,Pm-3m,0
KZnF3,mp-5878,Pm-3m,0
LiAgF3,mp-760151,P6_122,0
LiAgF3,mp-752605,C2/c,0
LiCuF3,mp-753405,P2_1/c,0
LiCuF3,mp-761897,P6_122,0
LiCuF3,mp-752701,P-1,0
LiFeF3,mp-775760,P-1,0
LiFeF3,mp-777470,R-3c,0
LiFeF3,mp-777899,Pnma,0
LiFeF3,mp-754816,Pnma,1
LiFeF3,mp-760354,P1,0
LiFeF3,mp-754051,R-3,1
LiFeF3,mp-776026,P4_2/n,0
LiFeF3,mp-754707,C2/c,0
LiFeF3,mp-755103,C2/m,1
LiFeF3,mp-777522,Cmc2_1,0
LiFeF3,mp-754994,C2/c,0
LiFeF3,mp-777622,P1,0
LiFeF3,mp-776080,Pccn,0
LiFeF3,mp-777888,R3,0
LiFeF3,mp-755179,P2_1/m,0
LiFeF3,mp-776017,Pbcn,1
LiFeF3,mp-755136,Cmcm,0
LiFeF3,mp-777672,Amm2,1
LiFeF3,mp-777489,R-3,0
LiFeF3,mp-756109,Pnma,1
LiFeF3,mp-776604,P-1,0
LiFeF3,mp-776027,P4_2/n,0
LiFeF3,mp-755575,Pnma,0
LiMnF3,mp-777355,Pccn,0
LiMnF3,mp-867743,P6_3/mmc,0
LiMnF3,mp-763149,P2_13,0
LiMnF3,mp-756130,P-31c,0
LiMnF3,mp-763191,Ibam,0
LiMnF3,mp-759093,Pnna,0
LiMnF3,mp-752938,R-3c,0
LiMnF3,mp-765090,P-1,0
LiMnF3,mp-765457,Pnma,1
LiMnF3,mp-760095,P-3,1
LiMnF3,mp-776951,Pnma,0
LiMnF3,mp-778633,P-1,0
LiMnF3,mp-763003,R-3,1
LiMnF3,mp-763362,Pna2_1,1
LiMnF3,mp-776156,P2_13,0
LiMnF3,mp-753025,P6_322,0
LiMnF3,mp-758779,P3,1
LiMnF3,mp-754770,P2_1/c,0
LiMnF3,mp-779317,P2_1/c,0
LiMnF3,mp-759032,P2_1/c,0
LiMnF3,mp-764783,Pnma,1
LiMnF3,mp-762988,Cc,1
LiMnF3,mp-758456,Cmcm,0
LiMnF3,mp-778819,Amm2,0
LiMnF3,mp-778800,P-1,0
LiMnF3,mp-777655,C2/m,0
LiMnF3,mp-777298,Pbcn,0
LiMnF3,mp-757275,P2_1/c,1
LiMnF3,mp-754676,P6_322,0
LiMnF3,mp-774399,P-1,0
LiMnF3,mp-779073,R-3c,1
LiMnF3,mp-752829,R-3,0
LiMnF3,mp-777972,Pna2_1,1
LiNiF3,mp-758501,R-3,0
LiVF3,mp-752911,Pnma,1
LiVF3,mp-777893,Pccn,1
LiVF3,mp-756643,C2/c,0
LiVF3,mp-777894,Pnna,1
LiVF3,mp-778509,P2_13,0
LiVF3,mp-777551,P2_13,0
LiVF3,mp-753024,P6_3/mmc,0
LiVF3,mp-752619,P2_1/m,0
LiVF3,mp-777676,C2/c,0
LiVF3,mp-752764,R3c,1
LiVF3,mp-752607,R-3,0
MgAgF3,mp-998358,Pm-3m,0
MgTlF3,mp-998739,Pm-3m,0
MnInF3,mp-998241,P1,0
MnTlF3,mp-998762,Pm-3m,0
NaCdF3,mp-4360,R3c,1
NaCoF3,mp-1078336,Cmcm,0
NaCoF3,mp-21404,Pnma,0
NaCuF3,mp-17869,P-1,0
NaFeF3,mp-505066,Pnma,0
NaFeF3,mp-1078217,Cmcm,0
NaMgF3,mp-12948,Cmcm,1
NaMgF3,mp-2955,Pnma,1
NaMgF3,mp-560399,Pm-3m,0
NaMnF3,mp-560242,Pnma,1
NaNiF3,mp-1078237,Cmcm,0
NaNiF3,mp-561480,Pnma,1
NaPF3,mp-35683,P1,0
NaVF3,mp-20572,Pm-3m,0
NaZnF3,mp-3795,Pnma,1
NbOF3,mp-753800,P-1,0
NbOF3,mp-1101450,Immm,0
NbOF3,mp-762371,P4_1,0
NbOF3,mp-1094112,R3c,0
NbOF3,mp-760762,P2_12_12_1,0
NbOF3,mp-753785,P4_2/mnm,0
NiAgF3,mp-998365,Pm-3m,0
NiAgF3,mp-998429,Cmcm,0
PCF3,mp-556383,P2_1/c,1
PCF3,mp-540785,P4_2/nmc,1
RbBiF3,mp-677028,P1,0
RbCaF3,mp-3654,Pm-3m,0
RbCdF3,mp-6951,Pm-3m,0
RbCrF3,mp-1206325,P4/mmm,0
RbHgF3,mp-7482,Pm-3m,0
RbInF3,mp-1114686,Fm-3m,0
RbMgF3,mp-8402,Pm-3m,0
RbMgF3,mp-559523,P6_3/mmc,0
RbMgF3,mp-541813,P6_3/mmc,1
RbMnF3,mp-558749,Pm-3m,0
RbNiF3,mp-556488,P6_3/mmc,1
RbPbF3,mp-674508,Cc,0
RbPbF3,mp-605350,P-1,0
RbPbF3,mp-21043,Pm-3m,1
RbSnF3,mp-998193,P1,0
RbVF3,mp-556424,Pm-3m,0
RbYbF3,mp-6952,Pm-3m,0
RbZnF3,mp-4975,P6_3/mmc,1
SbOF3,mp-758096,P-42_1m,0
SbOF3,mp-757111,P-1,0
SbOF3,mp-1101381,Immm,0
TaOF3,mp-1101316,Immm,0
TaOF3,mp-677065,P1,0
TeCF3,mp-29429,P2_1/c,0
TlCdF3,mp-998759,Pbam,1
TlGeF3,mp-998711,P2_1/m,0
TlGeF3,mp-998712,P1,1
TlHgF3,mp-998758,Pbam,1
TlHgF3,mp-998710,P1,0
TlNiF3,mp-998761,Pm-3m,0
TlSnF3,mp-676130,Cc,0
TlZnF3,mp-998745,Pm-3m,0
VOF3,mp-776441,P-1,0
VOF3,mp-759983,P2_1/c,0
VOF3,mp-556026,P2_1/c,0
VOF3,mp-764274,P-42_1m,0
VOF3,mp-756077,P1,0
VOF3,mp-761122,Pc,1
VOF3,mp-753525,P4_1,0
VOF3,mp-760338,Pnc2,0
VOF3,mp-752787,P2_1/c,0
VOF3,mp-850876,P1,0
VOF3,mp-752824,Pca2_1,0
VOF3,mp-776474,P1,0
VOF3,mp-781081,P2_1,0
VOF3,mp-759725,Pna2_1,0
VOF3,mp-776473,P1,0
VOF3,mp-775981,P-1,0
VOF3,mp-760313,C2,0
VOF3,mp-753030,P2_12_12_1,0
VOF3,mp-754919,Pc,0
VOF3,mp-761177,P4_1,0
VOF3,mp-760178,P2_1/c,0
VOF3,mp-760367,C2,0
WOF3,mp-753398,P2_12_12_1,1
ZnAgF3,mp-14099,Pm-3m,0
ZnAgF3,mp-998537,R-3,1
ZrCuF3,mp-677041,P1,0
CsAuI3,mp-28453,I4/mmm,1
CsCaI3,mp-998428,Pnma,1
CsCaI3,mp-998333,Cm,0
CsGeI3,mp-642690,Cm,1
CsGeI3,mp-28377,R3m,1
CsInI3,mp-998430,P-1,0
CsPbI3,mp-1069538,Pm-3m,1
CsPbI3,mp-540839,Pnma,0
CsSiI3,mp-1147745,R3m,1
CsSnI3,mp-568570,Pnma,1
CsSnI3,mp-614013,Pm-3m,1
CsSnI3,mp-616378,P4/mbm,1
CsSrI3,mp-998417,Cm,0
CsVI3,mp-22991,P6_3/mmc,0
CsYbI3,mp-1185576,Pnma,0
CuGeI3,mp-1096949,Cm,0
KAuI3,mp-31045,P2_1/c,0
KHgI3,mp-1190406,Pna2_1,1
LiGaI3,mp-29345,P2_1/m,0
MnTlI3,mp-23443,Pnma,0
NbI3O,mp-546285,C2,0
NbSeI3,mp-541817,C2/c,0
NbTeI3,mp-540924,P2/c,0
RbAuI3,mp-568666,C2/m,0
RbCaI3,mp-998592,Pnma,1
RbCaI3,mp-998325,Cm,0
RbCrI3,mp-27442,C2,0
RbGeI3,mp-567855,P2_12_12_1,0
RbGeI3,mp-571458,Pm-3m,1
RbPbI3,mp-23517,Pnma,0
RbSnI3,mp-29405,Pnma,0
RbVI3,mp-672346,P6_3cm,0
RbYbI3,mp-568796,Pnma,1
TlCdI3,mp-27252,Pnma,0
TlGeI3,mp-29288,Pnma,0
TlPbI3,mp-27552,Cmcm,1
AgPS3,mp-5470,C2/m,0
AlInS3,mp-504482,P6_1,0
BaHfS3,mp-1105549,Pnma,1
BaHfS3,mp-998419,Pnma,1
BaPS3,mp-11006,P2_1/c,1
BaTeS3,mp-27499,Pnma,0
BaTiS3,mp-7073,P6_3/mmc,0
BaZrS3,mp-540771,Pnma,1
CS3N,mp-29700,C2/c,0
CaHfS3,mp-1190098,Pnma,1
CaPS3,mp-9789,P2_1/c,1
CaSnS3,mp-866606,P2_1/c,0
CaSnS3,mp-866936,Pnma,1
CaSnS3,mp-866826,R-3,0
CaSnS3,mp-866495,P2_1/c,0
CaSnS3,mp-866811,Pnma,0
