formula,mpid,spacegroup.symbol,nature of band gap,predicted value
CdGeO3,mp-1016903,Pm-3m,0,0
TeHO3,mp-625913,Pc,0,0
FeGeO3,mp-22334,C2/c,0,0
NdMnO3,mp-20852,Pnma,1,0
MoHO3,mp-1221516,C2,0,0
BaPbO3,mp-22230,Imma,0,0
LiMnF3,mp-752938,R-3c,0,0
LiAgF3,mp-760151,P6_122,0,0
YFeO3,mvc-11229,Pm-3m,0,0
SmFeO3,mp-20243,Pnma,1,0
DyAlO3,mp-756630,Pnma,1,0
RbPbBr3,mp-998176,Cm,1,1
RbVF3,mp-556424,Pm-3m,0,0
